autores,titulo,ano,tipo,orientador,quantidade,local,numero,localizacao,idioma
"SANTOS, Hélio José",Comportamento Morfodinâmico do Meio Físico: Análise das Erosões no Município de Itapevi-SP,2000,D,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"SANTOS, Hélio José dos",Urbanização e alterações ambientais em Itapevi e arredores: A contribuição da cartografia geomorfológica,1994,M,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
"SANTOS, Marcos Roberto dos",Arranjos produtivos locais e biodiversidade na Amazônia: perspectivas do APL de Fitoterápicos e Fitocosméticos e resultados das iniciativas de apoio nos municípios de Manaquiri e Barreirinha - AM,2011,Mestrado,Prof.° Dr. Wanderley Messias da Costa,1,São Paulo,,,PT-BR
"SANTOS, Maria Natalina dos",Levantamento das principais características do meio físico do município de Cerquilho (SP) para fins de planejamento territorial,1996,M,Prof. Dr. Antônio Roberto Saad,2,Rio Claro,,,PT-BR
"SANTOS, Michelle Odete dos",Análise de estabilidade de vertentes por meio da utilização dos métodos de Feições mínimas do relevo e Fator de Segurança,2015,M,Prof.° Dr. Antônio Carlos Colângelo,1,São Paulo,,,PT-BR
"SANTOS, Regnaldo Gouveia dos ",Área de Influência Real de Empreendimentos Hidroelétricos do ponto de cista da Geografia: o caso dos rios São Francisco e Nilo.,2015,Doutorado,Prof° Dr. Mário DE Biasi,1,São Paulo,,,PT-BR
"SANTOS, Roberto de Souza",Ocupação do território e modernidade: reestruturação espacial da microregião de Rondonópolis-MT. Uma análise sociedade-natureza,2006,D,Prof. Dr. Archimedes Perez Filho,1,Rio Claro,,,PT-BR
"SAUSEN, Tânia Maria","Modificação na forma do canal do Rio em função da ação antrópica: exemplo, Rio Paraíba do Sul Vol. I e Vol. II",1988,D,Prof. Dr. Adilson A de Abreu,2,São Paulo,,,PT-BR
"SCHUTZER, José Guilherme",Cidade e Meio Ambiente. A apropriação do relevo no desenho ambiental urbano,2004,M,Profª. Dra. Maria Assunção Ribeiro Franco,1,São Paulo,,,PT-BR
"SCHUTZER, José Guilherme",Dispersão urbana e apropriação do relevo na macrometrópole de São Paulo - Lista de ilustrações coloridas selecionadas,2012,Doutorado,,1,São Paulo,,,PT-BR
"SCHUTZER, José Guilherme",Dispersão urbana e apropriação do relevo na macrometrópole de São Paulo,2012,Doutorado,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
"SEABRA, Giovanni de Farias",Do Garimpo aos Ecos do Turismo: O parque Nacional da Chapada Diamantina,1998,D,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"SEABRA, Giovanni de Farias.",Estudo Geomorfológico da Região Cárstica de Andaraí: Uma contribuição à conservação de cavernas,1991,M,,1,Recife,,,PT-BR
"SETTE, Denise Maria",O holorritmo e as interações trópico-extratrópico na gênese do clima e as paisagens do Mato Grosso,2000,D,Prof. Dr. José Roberto Tarifa,1,São Paulo,,,PT-BR
"SILVA FILHO, Paulo Alves","Estudo de dinamica de paisagens no baixo curso do rio Ipojuca, Pernambuco-Potencial para Sustentabilidade Socioeconomica e cultural da regiao",2010,M,Prof. Dr. Yuri Tavares Rocha,1,Sao Paulo,,,PT-BR
"SILVA, Debora Barbosa da",Avaliacao das unidades ambientais complexas dinamica do sistema hidrografico do rio real Bahia/Sergipe - Brasil,2009,D,Profa. Dra. Aracy Losano Fontes,1,Sao Cristova,,,PT-BR
"SILVA, Débora Barbosa da",Avaliação das Unidades Ambientais Complexas na Dinâmica do Sistema Hidrográfico do Rio Real Bahia/Sergipe - Brasil,2009,D,Profª. Dra. Aracy Losano Fontes,1,Sergipe,,,PT-BR
"SILVA, Dimas Antonio",Zoneamento ambiental de um setor do Parque Estadual da Cantareira e entorno seccionado pela rodovia Fernão Dias(BR 381),2005,D,Prof. Dr. Felisberto Cavalheiro e Prof. Dr. José Bueno Conti,1,São Paulo,,,PT-BR
"SILVA, Jorge J. A. da",Fatores Externos e Internos que alteram a vida do homem e o Ecossistema Manguezal do Rio Jordão,2008,D,Prof. Dr. Andreas Áttila de Wolinsk Miklós,1,São Paulo,,,PT-BR
"SILVA, Josenilson Bernardo da",Avaliação da perda de solo por fluxo superficial utilizando parcelas experimentais: Estudo de caso na bacia do Córrego do Glória em Uberlândia - MG,2006,M,Prof. Dr. Silvio Carlos Rodrigues,1,São Paulo,,,PT-BR
"SILVA, Juliana de Paula",Avaliação da diversidade de padrões de canais fluviais e da geodiversidade na Amazônia - Aplicação e discussão na bacia hidrográfica do Rio Xingu,2014,D,Profa. Dra. Cleide Rodrigues,1,São Paulo,,,PT-BR
"SILVA, Juliana de Paula","Expansão urbana e evolução geomorfológica em remansos de reservatórios: análise comparativa de duas bacias hidrográficas em Guarapiranga, São Paulo",2005,M,Profª. Dra. Cleide Rodrigues,2,São Paulo,,,PT-BR
"SILVA, Juliana de Paula",Avaliação da diversidade de padrões de canais fluviais e da geodiversidade na Amazônia - Aplicação e Discussão na Bacia Hidrográfica do Rio Xingu,2012,D,Profª Drª Cleide Rodrigues,1,São Paulo,,,PT-BR
"SILVA, Laís Coêlho do Nascimento",Estimativa de perda de solos por erosão laminar na bacia hidrográfica do córrego Baguaçu no estado de São Paulo,2015,D,Prof. Dr. Ailton Luchiari,1,São Paulo,,,PT-BR
"SILVA, Laís Coêlho do Nascimento",Estimativa da perda de solos por erosão laminar na bacia hidrográfica do córrego baguaçu no Estado de São Paulo,2015,D,Prof.°Dr. Aílton Luchiari,1,São Paulo,,,PT-BR
"SILVA, Rodrigo Ferreira da",Análise de Magnitude e Frequência Espacial de Movimentos de Massa em Caraguatatuba-SP,2013,Mestrado,Prof.° Dr. Antônio Carlos Colângelo,1,São Paulo,,,PT-BR
"SILVA, Vicente Rocha",Análise Sócio-Ambiental da Bacia do Rio Biguaçu-SC: Subsídios ao Planejamento e Ordenamento Territorial,2007,D,Prof. Dr. Jurandyr Luciano Sanches Ross,2,São Paulo,,,PT-BR
"SILVA, Wanderlei Sergio da",Identificação de unidades Ambientais no município de Atibaia - SP,2000,M,Prof. Dr. Flávio Sammarco Rosa,1,São Paulo,,,PT-BR
"SILVEIRA, Alan",Diagnostico ambiental do setor noroeste síto urbano de Piracicaba(SP): Uma abordagem geografica,2009,M,Prof. Dra. Cenira Maria Lupinacci da Cunha,1,Rio Claro(SP),,,PT-BR
"SILVEIRA, João Dias da",Estudo geográfico dos contrafortes ocidentais da Mantiqueira,1946,D,,1,São Paulo,,,PT-BR
"SILVEIRA, Renée Garófalo",Valoração do impacto ambiental e paisagístico. O trecho sul do rodoanel da Grande São Paulo,2006,M,Prof. Dr. Paulo Renato Mesquita Pellegrino,1,São Paulo,,,PT-BR
"SIMÕES, Silvio Jorge Coelho","Variabilidade, Fragilidade e Dinâmica da Paisagem em área de Transição Urbano - Rural",1996,D,Prof. Dr. Mário Di Biasi,1,São Paulo,,,PT-BR
"SOARES, Fabiana P.",Cartografia Morfológica de Detalhe e Intervenções Antrópicas no Alto Jacareí: Subsídios à Avaliação da Degradação Ambiental do Sistema Cantareira,2008,M,Profa. Dra. Cleide Rodrigues,1,São Paulo,,,PT-BR
"SOBRINHO, José Falcão","O relevo, elemento e âncora, na dinâmica da paisagem do vale, verde e cinza, do Acaraú, no estado do Ceará",2006,D,Prof. Dr. Jurandyr L. S. Ross,2,São Paulo,,,PT-BR
"SOBRINHO, Luiz Martins da Silva","Tipologia e dinâmica das formas de relevo da fachada leste do Rio GRande do Norte, entre o estuário do Rio Potengi e a Lagoa de Guaraíras",1985,Mestrado,Prof. Dr. Adilson Avansi de Abreu,1,,,,PT-BR
SOBRINHO. Edwardo José de Albuquerque,Proposta de um sistema de avaliação geoambiental para rios: Estudo de caso para o córrego das cruzes (Santo Antonio do Aracanguá/SP),2013,Doutorado,Prof.  Dr. Frederico Fábio Mauad,1,São Carlos,,,PT-BR
"SOUSA, Flávio Alves de","A Contribuição dos solos originados sobre granitos e rochas alcalinas na condutividade hidráulica, na recarga do lençol freático e na suscetibilidade erosiva -  Um estudo de caso na alta bacia hidrográfica do rio dos bois em iporá-go.",2013,Doutorado,Prof°. Dr. Sílvio Carlos Rodrigues,1,Uberlândia /  MG,,,PT-BR
"SOUZA, Bernardo Sayão Penna e","Análise Ambiental da Micro Bacia Hidrográfica do Lageado dos porcos e Cartografia do Uso atual e ideal da terra, através do Sensoriamento Remoto",1995,M,Profa. Dra. Dirce Maria A. Suertegaray,2,Porto Alegre,,,PT-BR
"SOUZA, Luiz Humberto de Freitas",Representação gráfica de feições lineares do relevo em meio digital: proposta de aplicaçã de simbologia linear na cartgrafia geomorfológica,2006,M,Prof. Dr. Sílvio Carlos Rodrigues,1,Uberlândia,,,PT-BR
"SOUZA, Marcos Barros de",Geografia Física: Balanço da sua produção em eventos científicos no Brasil,2006,M,Profª. Dra. Sueli Angelo Furlan,1,São Paulo,,,PT-BR
"SPÖRL, Andrea",Planejamento e gestão dos recursos hídricos na região metropolitana de São Paulo: Diagnóstico crítico,2002,M,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"SPÖRL, Christiane",Metodologia para Elaboração de Modelos de Fragilidade Ambiental Utilizando Redes Neurais,2007,D,Prof Dr. Ailton Luchiari,1,São Paulo,,,PT-BR
"STIPP,  Marcelo Eduardo Freres",A ocupação do solo e a problemática da arenização e do voçorocamento no município de Paranavaí/PR,2006,D,Prof. Dr. José Bueno Conti,1,São Paulo,,,PT-BR
"STIPP, Marcelo Eduardo Freres",Análise dos vendavais em sobreposição à carta de direção e velocidade dos ventos de superfície da cidade de Londrina/Paraná,2001,M,Prof. Dr. José Bueno Conti,2,São Paulo,,,PT-BR
"SUÁREZ, José Martin",Contribuição à Geologia do Extremo Oeste do Estado de São Paulo,1973,Doutorado,,1,Presidente Prudente,,,PT-BR
"TAVARES, Antonio Carlos",A erosão dos solos no contexto da álise ambiental: o exemplo do alto curso do Rio São José dos Dourados,1986,Doutorado,Prof. Dr. Antonio Christofoletti,1,,,,PT-BR
"THOMAZ, Edivaldo Lopes",Processos hidrogeomorfológicos e o uso da terra em ambiente subtropical - Guarapuava-PR,2005,D,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"THOMAZ, Edivaldo Lopez",Análise Empírica da Fragilidade Potencial da Bacia do Rio Iratim - Guarapuava-PR,1999,M,Prof. Dr. José B. Conti,1,São Paulo,,,PT-BR
"TOLEDANO, Maria Salomé de Albuquerque",Manaus: Urbanização e a Deterioração Ambiental,1997,M,Prof. Dr. Jurandyr  L. S. Ross,1,São Paulo,,,PT-BR
"TOMINAGA, Lidia Keiko","Avaliação de Metodologias de Análise de Risco a Escorregamentos: Aplicação de um Ensaio em Ubatuba, SP (Revisada)",2007,D,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"TOMINAGA, Lidía Keiko","Avaliação de Metodologias de Análise de Risco a Escorregamentos: Aplicação de um Ensaio em Ubatuba, SP (Sem Revisão)",2007,D,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"TOMINAGA, Lídia Keiko",Análise Morfodinâmica das Vertentes da Serra Juqueriquerê em São Sebastião - SP,2000,M,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"UTIMURA, Isabel","Avaliação dos processos erosivos, sedimentológicos e da qualidade de água da bacia hidrográfica do rio Capivari",2005,M,Prof. Dr. Ailton Luchiari,1,São Paulo,,,PT-BR
"VALE, Cláudia Câmara do",Contribuição ao estudo dos Manguezais como indicadores biológicos das alterações geomórficas do Estuário do Rio São Mateus (ES),1999,M,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"VARAJÃO, César Augusto Chicarino","Estudo Comparativo das jazidas de bauxita do Quadrilátero Ferrífero, MG. Micromorfolia, Geoquímica, Geomorfologia e Sensoriamento Remoto",1988,M,Prof. Dr. Adilson Carvalho,1,São Paulo,,,PT-BR
"VASCONCELOS, Teresa Neide Nunes",Interpretação morfopedológica da Bacia do Rio Tenente Amaral - Jaciara - MT: condição básica para sua caracterização ambiental,1998,M,Prof. Dr. Fernando Ximenes de Tavares Salomão,1,Cuiabá,,,PT-BR
"VENTURI, Luis A. B.",Itapecerica da Serra - Ocupação e uso do território,2001,D,Prof. Dr. Felisberto Cavalheiro,1,São Paulo,,,PT-BR
"VENTURI, Luis A. B.",Oriente Médio: o compartilhamento e a tecnologia revertendo a perspectiva de escassez hídrica e conflitos,2012,Livre Docência,,1,São Paulo,,,PT-BR
"VERLOET, Roberto Jose Hezer Moreia",Condicionantes morfologicos e estruturais na dinâmica fluvial da bacia hidrografica do Rio Benevente-Espirito Santo,2009,M,Prof. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"VIEIRA, Falcão Eurides",Sistema Morfogenético Subtropical e seus Principais Processos,1697,Tese Livre-Doceência,,1,,,,PT-BR
"VIEIRA, Lúcio Salgado",Laterita Hidromórfica,1971,Monografia,,1,Pará,,,PT-BR
"VILELA FILHO, Luis Ribeiro","Urbanização e fragilidade ambiental na Bacia do Córrego Proença, Município de Campinas (SP)",2006,M,Prof. Dr. Antonio Carlos Vitte,1,Campinas,,,PT-BR
"VILLELA, Fernando Nadal Junqueira",Relação rocha-solo-relevo na depressão periferica paulista,2010,D,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"VITTE, Antônio Carlos",Etchplanação em Juquiá / SP - relações entre o intemperismo químico e as mudanças climáticas no desenvolvimento das formas de relevo em margem cratônica passiva,1998,Doutorado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"VITTE, Antônio Carlos",Etchplanação em Juquiá (SP). Relações entreo intemperismo químico e as mudanças climáticas no desenvolvimento das formas de relevo em margem cratônica  passiva,1998,D,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
"WATANABE, Arlette Scatolini",Um estudo geomorfológico na borda norte da Bacia de São Paulo - Pirituba,1979,M,Prof. Dr. José Pereira de Queirós Neto,1,São Paulo,,,PT-BR
"WERLAND, Mauro Kumpfer",Capacidade de Uso da Terra na Bacia Hidrográfica do Rio Arareau - Rondonópolis/MT,1997,M,Prof. Dr. Flávio S. Rosa,1,São Paulo,,,PT-BR
"WERLE, Hugo J. S.",Bacia do Rio Comandaí - RS: um estudo Geomorfológico,1991,M,Prof. Dr. Adilson A. Abreu,1,São Paulo,,,PT-BR
"WERLE, Hugo José Scheuer",Definição de unidades de fragilidade natural: Uma contribuição ao planejamento ambiental do estado do Mato Grosso,1999,D,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
WOLLMAN. Cássio Arthur ,Zoneamento Agriclimático para a produção de roseiras (Rosaceae spp.) No Rio Grande do Sul,2011,Doutorado,Prof. Dr. Emerson Galvani,1,São Paulo,,,PT-BR
"WOLLMANN, Cássio Arthur",Zoneamento Agroclimático para a Produção de Roseiras (Rosaceae spp.) no Rio Grande do Sul ,2011,D,Prof. Dr. Emerson Galvani,1,São Paulo,,,PT-BR
"YOJO, Eliana Hanae",Aspectos Geomorfológicos da planície costeira de Ubatumirim / SP,1991,M,Prof. Dr. Augusto H. V. Titarelli,1,São Paulo,,,PT-BR
"DE OLIVEIRA, Thomaz Alvisi","A concepção geossistêmica aplicada ao estudo da dinâmica da paisagem na bacia hidrográfica do rio Lourenço Velho, sul do Estado de Minas Gerais - Brasil",2013,D,Adler Guilherme Viadana,1,São Paulo,,,PT-BR
"LUCHIARI, Ailton",Tratamento da Informação Geográfica: estudo sobre a distribuição espacialde categorias socioprofissionais,2013,LD,,1,São Paulo,,,PT-BR
