autores,titulo,ano,tipo,orientador,quantidade,local,numero,localizacao,idioma
"FALK, Florisvaldo Henrique",Compartimentação geomorfológica e estruturação da paisagem  no baixo Jaguaripe - BA,1992,D,Prof. Dr. José Bueno Conti,1,São Paulo,,,PT-BR
"FARINACCIO, Alessandro","Impactos na Dinâmica Costeira Decorrentes de Intervenções em praias arenosas e canais estuarinos de áreas densamente ocupadas no litoral de São Paulo, uma Aplicação do Conhecimento a Áreas não Ocupadas",2008,D,Prof. Dr. Moysés Gonsalez Tessler,1,São Paulo,,,PT-BR
"FAUSTINO, Ricardo Fernandes",O turismo em espaço rural como modo de valorização do patrimônio cultural (estudo de caso na média depressão periférica paulista: as fazendas Capoava e Ibicaba),2006,D,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
"FÁVERO, Oriana Aparecida",Paisagem e Sustentabilidade na Bacia Hidrográfica do Rio Sorocaba (SP),2007,D,Prof. Dr. Mário de Biasi,1,São Paulo,,,PT-BR
"FEITOSA, Antônio Cordeiro",Dinâmica dos processos geomorfológicos da área costeira a nordeste da Ilha do Maranhão,1996,D,Prof. Dr. Antônio Christofoletti,1,Rio Claro,,,PT-BR
"FELGUEIRAS, Carlos Eduardo","Saneamento ambiental e urbanização: Levantamento e Análise da Qualidade das Águas na Sub-Bacia Hidrográfica do Córrego da Água Branca, Ilhabela, São Paulo",2006,M,Profª. Dra. Sueli Angelo Furlan,1,São Paulo,,,PT-BR
"FERNANDES, Maria Lidia Bueno",A Prática Educativa e o Estudo do Meio: O Amapá como estudo de caso na construção do conceito de sustentabilidade,2008,D,Profª. Dra. Magda Lombardo,1,São Paulo,,,PT-BR
"FERNANDES, Zelita Azevedo Santana",Caracteres físicos da Bacia Superior do Rio Paraguaçu. Enfoque sobre o traçado do rio entre Itaete e Iaçu,1977,Mestrado,,1,,,,PT-BR
"FERREIRA, Ana Rosa","Geomorfologia, geodiversidade e análise da fragilidade ambiental das paisagens do Parque Estadual Serra Ricardo Franco, MT-Brasil",2014,D,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"FERREIRA, Renata Diniz",Os manguezais da Baía de Vitória: um estudo de Geografia Física integrada,1989,Doutorado,Prof. Dr. Augusto Humberto V. Titarelli,1,,,,PT-BR
"FIERZ, Marisa de Souto Matos","A influência Humana na Paisagem , nos processos erosivos e deposicionais da área costeira: uma contribuição à dinâmica ambiental em Bertioga - SP",2001,M,Prof. Dr. Moysés Gonsalez Tessler,1,São Paulo,,,PT-BR
"FIERZ, Marisa de Souto Matos",aS Abordagens sistemica e do equilibrio Dinâmico na Analise da Fragilidade Ambiental : Uma contribuição a Geomorfologia das Planícies Costeiras,2008,D,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"FILHO, Archimedes Perez",Análise estrutural da Bacia do São José dos Dourados / SP,1977,Mestrado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"FONSECA, Gizelle Prado da Silva",Formas de relevo e os materiais de superfície no Pantanal de Poconé - MT,2015,D,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"FONSECA, Gizelle Prado da Silva",Análise da Poluição Difusa na Bacia do Rio Teles Pires com Técnicas de Geoprocessamento,2006,M,Prof. Dr. Peter Zeilhofer,1,Cuiabá,,,PT-BR
"FONSECA, Izabel A . Zimermann",Uma revisão dos EIA/RIMA sobre manguezais,1995,M,Profa. Dra. Yara Schaeffer-Novelli,1,São Paulo,,,PT-BR
"FONTES, Aracy Losano",Caracterização geoambiental da Bacia do Rio Japaratuba (SE),1997,D,Prof. Dr. Antônio Christofoletti,1,Rio Claro,,,PT-BR
"FORTES, Mircia Ribeiro","A Distribuição Espacial da Vegetação nas Feições Geomorfológicas da Ilha da Marchantaria: Planície do Rio Amazonas, AM/Brasil",2014,D,Prof. Dr. Antonio Carlos Colangelo,1,São Paulo,,,PT-BR
"FRAISOLI, Camila","Valorização do Espaço e Fragilidade Ambiental: O Caso da Construção do Meio Ambiente Urbano da Bacia do Córrego Santo Antônio, Mogi Mirim (SP).",2005,M,Prof. Dr. Antonio Carlos Vitte,1,São Paulo,,,PT-BR
"FRANCA, Heber Christiane Antunes","Vulnerabilidade e sustentabilidade natural da paisagem da Baía do Iguape, Cachoeira, BahiaVulnerabilidade e sustentabilidade natural da paisagem da Baía do Iguape, Cachoeira, Bahia",2010,D,Prof. Dr. Jurandyr L.S. Ross,1,Curitiba,,,PT-BR
"FREITAS, Carlos Geraldo Luz de",Cartografia Geotécnica de planejamento e gestão territorial: proposta teórica e metodológica,2000,D,Prof. Dr. Adílson Avansi de Abreu,1,São Paulo,,,PT-BR
"FUJIMOTO, Nina Simone V. Moura",Análise ambiental urbana na área metropolitana de Porto Alegre - RS: Sub-bacia hidrográfica do arroio dilúvio,2001,D,Prof. Dr. Jurandyr L . S. Ross,1,São Paulo,,,PT-BR
"FUJIMOTO, Nina Simone Vilaverde Moura",Análise geomorfológica de Itapuã - RS: Contribuição ao conhecimento da margem norte da Lagoa dos Patos,1994,M,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"FURIAN, Sonia","Morphogenese / Pedogenese en milieu Tropical Humide de la serra do mar, Bresil: Contribution de l'alteration et de la pedogenese a une dynamique actuelle de Glissement",1994,D,,1,Caen,,,PT-BR
"FURLAN, Adriana Aparecida",Falásias na Formação Barreiras : análise regional e proposta tipológica,2014,D,Prof. Dr. Antonio Carlos Colangelo,1,São Paulo,,,PT-BR
"FURLAN, Sueli Angelo",Lugar Cidadania: Implicações socioambientais das politicas de conservação ambiental,2000,D,Prof. Dr. Augusto Humberto Vairo Titarelli,2,São Paulo,,,PT-BR
"FURLANI, Geraldo Majella",Estudo geomorfológico das Boçorocas de Casa Branca,1980,M,Prof. Dr. Augusto Humberto Vairo Titarelli,1,Casa Branca,,,PT-BR
"FURRIER, Maw",Caracterização geomorfológica e do meio físico da folha João Pessoa - 1: 100.000,2007,D,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"FURRIER, Max",Análise ambiental e cartografia geomorfológica do município de Jacutinga-MG,2002,M,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"GAFFO, Leandro",Mitos e Ritos na relação Homem - Natureza: um caso - A Ocupação da Cratera de Colônia - Parelheiros - São Paulo,1998,M,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"GALLO JUNIOR, Humberto",Sobreposição de territórios e gestão de unidades de conservação de proteção integral: Estudo aplicado a UC´s do Estado de São Paulo,2005,D,Prof. Dr. José Bueno Conti e Prof. Dr. Felisberto Cavalheiro (In Memorian),1,São Paulo,,,PT-BR
"GALLO, Jaques",Corpos de deriva e tendência de circulação de superfície das águas sobre a margem continental da costa sul e sua correlação às condicionantes ambientais,1988,Doutorado,Prof. Dr. Renato Herz,1,,,,PT-BR
